show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,"November 12, 2021",2012,G,9 min,"Animation, Family"
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,"November 12, 2021",2011,G,8 min,"Animation, Family, Fantasy"
s36,Movie,The Little Matchgirl,Roger Allers,,United States,"November 12, 2021",2006,G,7 min,"Animation, Drama"
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,"November 12, 2021",2021,TV-PG,30 min,"Concert Film, Music"
s38,Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,"November 12, 2021",2021,TV-G,1 min,"Animation, Comedy, Coming of Age"
s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,"November 12, 2021",2021,TV-PG,6 min,"Animation, Comedy"
s40,Movie,Tick Tock Tale,Dean Wellins,,United States,"November 12, 2021",2010,G,6 min,"Animation, Crime, Family"
s41,Movie,Under the Helmet: The Legacy of Boba Fett,,,,"November 12, 2021",2021,TV-PG,22 min,Science Fiction
s42,Movie,Willow,,,,"November 12, 2021",2021,TV-PG,3 min,"Action-Adventure, Fantasy"
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,"November 5, 2021",2011,G,87 min,"Comedy, Family, Music"
s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,"November 5, 2021",1996,PG,90 min,"Comedy, Family"
s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,"November 5, 2021",2014,PG,91 min,"Comedy, Family"
