show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s302,Movie,Marvel's Behind the Mask,,,,"February 12, 2021",2021,TV-14,65 min,"Anthology, Documentary"
s303,Movie,Rodgers & Hammerstein's Cinderella,Robert Iscove,"Brandy Norwood, Whitney Houston, Bernadette Peters, Paolo Montalbán, Whoopi Goldberg, Victor Garber",,"February 12, 2021",1997,G,86 min,"Comedy, Family, Fantasy"
s304,Movie,You Again,Andy Fickman,"Kristen Bell, Sigourney Weaver, Jamie Lee Curtis, Odette Yustman, Kristin Chenoweth, Victor Garber",United States,"February 12, 2021",2010,PG,106 min,Comedy
s305,Movie,Disney My Music Story: Yoshiki,Kentaro Takayanagi,YOSHIKI,"United States, Japan","February 5, 2021",2019,TV-PG,48 min,"Biographical, Documentary, Music"
s306,Movie,Expedition Everest,Katie Bauer Murdock,Tate Donovan,United States,"February 5, 2021",2020,TV-PG,45 min,"Animals & Nature, Documentary"
s307,Movie,Upside-Down Magic,Joe Nussbaum,"Izabela Rose, Siena Agudong, Kyle Howard, Elie Samouhi, Alison Fernandez, Max Torina","United States, Canada","February 5, 2021",2020,TV-PG,97 min,"Coming of Age, Fantasy"
s308,TV Show,Wicked Tuna: Outer Banks,,Bill Ratner,,"February 5, 2021",2013,TV-14,7 Seasons,"Animals & Nature, Docuseries, Family"
s309,TV Show,Dinosaurs,,,United States,"January 29, 2021",1991,TV-PG,4 Seasons,"Comedy, Family"
s310,Movie,Texas Storm Squad,Natalie Hewit,Sam Douglas,,"January 29, 2021",2020,TV-14,44 min,Documentary
s311,TV Show,Pixar Popcorn,,"Ellen DeGeneres, Craig T. Nelson, Holly Hunter, Keegan-Michael Key, Jordan Peele",United States,"January 22, 2021",2021,TV-PG,1 Season,"Animation, Anthology, Family"
s312,Movie,Wild Uganda,Harald Pokieser,Russell Boulter,,"January 22, 2021",2018,TV-PG,45 min,"Animals & Nature, Documentary"
s313,TV Show,Elena of Avalor,,"Aimee Carrero, Jenna Ortega, Keith Ferguson, Jillian Reed, Carlos Alazraqui, Mikey Kelley",United States,"January 15, 2021",2015,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy"
s314,Movie,Isle of Dogs,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum, Bill Murray","United States, Germany, United Kingdom","January 15, 2021",2018,PG-13,102 min,"Action-Adventure, Animation, Comedy"
s315,Movie,Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Pixie Davies","United States, United Kingdom","January 15, 2021",2018,PG,140 min,"Family, Fantasy, Musical"
s316,TV Show,WandaVision,,"Elizabeth Olsen, Paul Bettany, Teyonah Parris, Kathryn Hahn, Randall Park, Kat Dennings",United States,"January 15, 2021",2021,TV-14,1 Season,"Drama, Fantasy, Mystery"
s317,TV Show,Disney Fam Jam,,"Phil Wright, Ariel Martin, Trevor Tordjman",United States,"January 8, 2021",2020,TV-G,1 Season,"Family, Game Show / Competition, Reality"
s318,Movie,Ferdinand,Carlos Saldanha,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto","United States, Spain","January 8, 2021",2017,PG,111 min,"Action-Adventure, Animation, Comedy"
s319,TV Show,Marvel Studios LEGENDS,,,United States,"January 8, 2021",2021,TV-14,1 Season,"Action-Adventure, Docuseries, Fantasy"
s320,Movie,Toy Story: That Time Forgot,Steve Purcell,"Tom Hanks, Tim Allen, Kristen Schaal, Kevin McKidd, Emily Hahn, Wallace Shawn",United States,"January 8, 2021",2014,TV-G,22 min,"Action-Adventure, Animation, Comedy"
s321,Movie,700 Sharks,Luc Marescot,Paul Bandey,France,"January 1, 2021",2018,TV-PG,45 min,"Animals & Nature, Documentary"
s322,Movie,Big Sharks Rule,,Lance Lewman,,"January 1, 2021",2018,TV-14,45 min,"Animals & Nature, Documentary"
s323,Movie,Dr. Seuss' Horton Hears a Who!,"Jimmy Hayward, Steve Martino","Jim Carrey, Steve Carell, Will Arnett, Seth Rogen, Isla Fisher, Amy Poehler",United States,"January 1, 2021",2008,G,88 min,"Animation, Comedy, Family"
s324,Movie,Great Shark Chow Down,Mark Woodward,Dan Nachtrab,,"January 1, 2021",2019,TV-PG,45 min,"Animals & Nature, Documentary"
s325,Movie,Mega Hammerhead,"Brandon Hill, Marc Ostrick",Neil Hammerschlag,United States,"January 1, 2021",2016,TV-PG,43 min,"Animals & Nature, Documentary"
s326,Movie,Burrow,Madeline Sharafian,,United States,"December 25, 2020",2020,G,6 min,"Animation, Family"
s327,TV Show,Cosmos: Possible Worlds,,Neil deGrasse Tyson,United States,"December 25, 2020",2020,TV-14,1 Season,"Action-Adventure, Docuseries, Family"
s328,TV Show,Disney Gallery / Star Wars: The Mandalorian,,"Jon Favreau, Dave Filoni, Pedro Pascal, Bryce Howard, Taika Waititi, Carl Weathers",United States,"December 25, 2020",2020,TV-PG,2 Seasons,"Action-Adventure, Docuseries, Family"
s329,Movie,Max Keeble's Big Move,Tim Hill,"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn",United States,"December 25, 2020",2001,PG,88 min,"Comedy, Family"
s330,Movie,Soul,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",United States,"December 25, 2020",2020,PG,107 min,"Animation, Comedy, Family"
s331,Movie,Arendelle Castle Yule Log,,,United States,"December 18, 2020",2020,TV-G,180 min,"Animation, Family"
s332,Movie,Buried Truth of the Maya,,Josh Bernstein,United States,"December 18, 2020",2020,TV-PG,48 min,"Documentary, Historical"
s333,TV Show,Disney Parks Sunrise Series,,,,"December 18, 2020",2021,TV-G,1 Season,"Animals & Nature, Docuseries, Family"
s334,Movie,Dory's Reef Cam,Michal Makarewicz,,United States,"December 18, 2020",2020,TV-G,182 min,"Animation, Family"
s335,Movie,Into the Woods,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman",United States,"December 18, 2020",2014,PG,126 min,"Action-Adventure, Fantasy, Musical"
s336,Movie,"Miraculous World: New York, United Heroez",Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz","United Kingdom, United States, France","December 18, 2020",2020,TV-Y7-FV,60 min,"Action-Adventure, Animation, Fantasy"
s337,TV Show,On Pointe,,,United States,"December 18, 2020",2020,TV-PG,1 Season,"Docuseries, Family"
s338,TV Show,Wild Nordic,,Dan Nachtrab,,"December 18, 2020",2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Reality"
s339,Movie,Disney Channel's Epic Holiday Showdown,,,United States,"December 11, 2020",2020,TV-G,50 min,"Fantasy, Variety"
s340,Movie,Disney Holiday Magic Quest,,,United States,"December 11, 2020",2020,TV-G,46 min,Movies
s341,Movie,Gender Revolution: A Journey With Katie Couric,,Katie Couric,United States,"December 11, 2020",2017,TV-14,93 min,Documentary
s342,Movie,High School Musical: The Musical: The Holiday Special,,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",United States,"December 11, 2020",2020,TV-G,46 min,"Drama, Music, Romance"
s343,Movie,Ralph Breaks the Internet,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",United States,"December 11, 2020",2018,PG,116 min,"Action-Adventure, Animation, Comedy"
s344,Movie,Safety,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",United States,"December 11, 2020",2020,PG,123 min,"Biographical, Drama, Sports"
s345,Movie,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters",United States,"December 4, 2020",1997,G,95 min,"Animation, Family, Fantasy"
s346,Movie,Godmothered,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",United States,"December 4, 2020",2020,PG,113 min,"Comedy, Family, Fantasy"
s347,Movie,Man vs. Shark,,"Jeremiah Sullivan, Dave Hoffman",United States,"December 4, 2020",2019,TV-PG,45 min,"Animals & Nature, Documentary"
s348,Movie,Mulan,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An","United States, Canada, Hong Kong","December 4, 2020",2020,PG-13,117 min,"Action-Adventure, Coming of Age, Drama"
s349,Movie,Sky High,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",United States,"December 4, 2020",2005,PG,101 min,"Action-Adventure, Comedy, Family"
s350,Movie,The Disney Holiday Singalong,,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",United States,"December 4, 2020",2020,TV-G,45 min,"Family, Music, Variety"
s351,Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",United States,"December 4, 2020",2018,PG,101 min,"Action-Adventure, Family, Fantasy"
s352,Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",United States,"November 27, 2020",2014,PG,83 min,"Comedy, Coming of Age, Family"
s353,Movie,Black Beauty,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",United States,"November 27, 2020",2020,TV-PG,111 min,"Animals & Nature, Coming of Age, Drama"
s354,Movie,From Our Family to Yours,Angela Affinita,,United Kingdom,"November 27, 2020",2020,TV-G,3 min,"Animation, Family"
s355,TV Show,Once Upon a Time in Wonderland,,"Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow","Canada, United States","November 27, 2020",2013,TV-PG,1 Season,"Action-Adventure, Fantasy, Soap Opera / Melodrama"
s356,TV Show,Party Animals,,,,"November 27, 2020",2016,TV-G,1 Season,"Animals & Nature, Kids, Music"
s357,Movie,Folklore: the long pond studio sessions,,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",United States,"November 25, 2020",2020,TV-14,107 min,"Documentary, Music"
s358,TV Show,Bia,,"Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma",Argentina,"November 20, 2020",2019,TV-G,1 Season,"Coming of Age, Drama, Music"
s359,TV Show,Marvel's 616,,,United States,"November 20, 2020",2020,TV-14,1 Season,"Anthology, Docuseries"
s360,Movie,Planes,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",United States,"November 20, 2020",2013,PG,94 min,"Action-Adventure, Animation, Comedy"
s361,Movie,Planes: Fire & Rescue,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",United States,"November 20, 2020",2014,PG,85 min,"Action-Adventure, Animation, Comedy"
s362,Movie,The Real Right Stuff,,,United States,"November 20, 2020",2020,TV-PG,90 min,"Documentary, Historical"
s363,TV Show,The Wonderful World of Mickey Mouse,,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",United States,"November 18, 2020",2020,TV-G,1 Season,"Action-Adventure, Animation, Anthology"
s364,Movie,LEGO Star Wars Holiday Special,Ken Cunningham,"Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan",United States,"November 17, 2020",2020,TV-Y7-FV,48 min,"Action-Adventure, Animation, Comedy"
s365,Movie,Home Alone,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",United States,"November 13, 2020",1990,PG,103 min,"Comedy, Family"
s366,Movie,Home Alone 2: Lost in New York,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",United States,"November 13, 2020",1992,PG,121 min,"Comedy, Family"
s367,Movie,Home Alone 3,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",United States,"November 13, 2020",1997,PG,103 min,"Comedy, Family"
s368,TV Show,Inside Pixar,,,United States,"November 13, 2020",2020,TV-PG,1 Season,"Docuseries, Family"
s369,Movie,Petra: Secrets of the Ancient Builders,"Thierry Fessard, Yohann Thiriet",Bert Morris,United Arab Emirates,"November 13, 2020",2019,TV-G,45 min,"Documentary, Historical"
s370,Movie,Ultimate Viking Sword,Peter Yost,Jay Sanders,,"November 13, 2020",2019,TV-PG,45 min,"Documentary, Historical"
s371,Movie,Disney's A Christmas Carol,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",United States,"November 6, 2020",2009,PG,97 min,"Animation, Fantasy"
s372,TV Show,Fancy Nancy (Shorts),,"Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan",,"November 6, 2020",2019,TV-Y,1 Season,"Animation, Kids"
s373,TV Show,Goldie & Bear,,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",United States,"November 6, 2020",2015,TV-Y,2 Seasons,"Action-Adventure, Animation, Buddy"
s374,Movie,Mr. Magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,"November 6, 2020",1997,PG,88 min,"Action-Adventure, Comedy, Crime"
s375,Movie,Prep & Landing,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",United States,"November 6, 2020",2009,TV-G,23 min,"Animation, Family, Fantasy"
s376,Movie,Prep & Landing: Naughty vs. Nice,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",United States,"November 6, 2020",2011,TV-G,23 min,"Animation, Family, Fantasy"
s377,Movie,Disney Channel Halloween House Party,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",United States,"October 30, 2020",2020,TV-G,23 min,"Comedy, Variety"
s378,TV Show,The Mandalorian,,"Pedro Pascal, Carl Weathers, Gina Carano, Omid Abtahi, Nick Nolte",United States,"October 30, 2020",2019,TV-14,2 Seasons,"Action-Adventure, Family, Science Fiction"
s379,Movie,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",United States,"October 30, 2020",2010,PG,111 min,"Action-Adventure, Fantasy"
s380,TV Show,X-Ray Earth,,,United States,"October 30, 2020",2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Reality"
s381,TV Show,Gathering Storm,,Tucker McDougall,United States,"October 23, 2020",2020,TV-PG,1 Season,"Animals & Nature, Docuseries"
s382,TV Show,India From Above,,Dev Patel,,"October 23, 2020",2019,TV-PG,1 Season,"Docuseries, Reality"
s383,TV Show,Marvel Super Hero Adventures,,,United States,"October 23, 2020",2017,TV-Y,4 Seasons,"Action-Adventure, Animation, Kids"
s384,Movie,Once Upon a Snowman,"Dan Abraham, Trent Correy","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams",United States,"October 23, 2020",2020,TV-PG,12 min,"Animation, Comedy, Coming of Age"
s385,Movie,Pompeii: Secrets Of The Dead,Ben Finney,Maite Jauregui,United States,"October 23, 2020",2019,TV-PG,45 min,"Documentary, Historical"
s386,Movie,Toy Story of Terror!,Angus MacLane,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers, Stephen Tobolowsky, Timothy Dalton",United States,"October 23, 2020",2013,TV-G,22 min,"Animation, Comedy, Family"
s387,Movie,Beverly Hills Chihuahua,Raja Gosnell,"Piper Perabo, Manolo Cardona, Jamie Curtis, Jose Yazpik, Maury Sterling, Jesus Ochoa","United States, Mexico","October 16, 2020",2008,PG,95 min,"Action-Adventure, Comedy, Family"
s388,Movie,Clouds,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",United States,"October 16, 2020",2020,PG-13,122 min,"Biographical, Drama, Music"
s389,Movie,Lost on Everest,Renan Ozturk,Tate Donovan,United States,"October 16, 2020",2020,TV-14,60 min,"Animals & Nature, Documentary, Survival"
s390,Movie,Marvel's Iron Man & Captain America: Heroes United,Leo Riley,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",United States,"October 16, 2020",2014,PG,72 min,"Action-Adventure, Animation, Science Fiction"
s391,TV Show,Meet The Chimps,,Jane Lynch,United States,"October 16, 2020",2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
s392,TV Show,The Rocketeer,,"Kitana Turnbull, Billy Campbell, Kathy Najimy, Callan Farris, Frank Welker",United States,"October 16, 2020",2019,TV-Y,1 Season,"Action-Adventure, Animation, Kids"
s393,Movie,Oil Spill of The Century,,Loïck Peyron,,"October 9, 2020",2019,TV-PG,45 min,"Documentary, Historical"
s394,Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton","United States, United Kingdom","October 9, 2020",2010,PG,113 min,"Action-Adventure, Family, Fantasy"
s395,TV Show,The Right Stuff,,"Jake McDorman, Patrick Adams, Colin O’Donoghue, Eloise Mumford, James Lafferty, Nora Zehetner",United States,"October 9, 2020",2020,TV-14,1 Season,"Drama, Historical"
s396,Movie,Wild Portugal,Christian Baumeister,Bart Thomasson,,"October 9, 2020",2020,TV-14,45 min,"Animals & Nature, Documentary, Family"
s397,Movie,X2,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden","Canada, United States","October 9, 2020",2003,PG-13,134 min,"Action-Adventure, Family, Science Fiction"
s398,Movie,Mr. Holland's Opus,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",United States,"October 2, 2020",1996,PG,143 min,"Drama, Music"
s399,Movie,Disneynature Oceans,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Lancelot Perrin","France, Switzerland, Spain, United States, United Arab Emirates","September 25, 2020",2010,G,84 min,"Animals & Nature, Documentary, Family"
s400,Movie,Hidden Figures,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",United States,"September 25, 2020",2016,PG,128 min,"Biographical, Drama, Family"
s401,TV Show,Magic of Disney's Animal Kingdom,,Josh Gad,United Kingdom,"September 25, 2020",2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
s402,Movie,Secret Society of Second-Born Royals,,"Peyton Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble, Skylar Astin, Elodie Yung",United States,"September 25, 2020",2020,TV-PG,99 min,"Action-Adventure, Coming of Age, Family"
s403,Movie,The Giant Robber Crab,Moritz Katz,Colin Solman,United States,"September 25, 2020",2019,TV-PG,44 min,"Animals & Nature, Documentary"
s404,TV Show,Wild Central America,,Nigel Marven,,"September 25, 2020",2020,TV-PG,1 Season,"Action-Adventure, Animals & Nature, Docuseries"
s405,TV Show,Ancient China from Above,,Dr. Allan Maca,United States,"September 18, 2020",2020,TV-14,1 Season,"Docuseries, Historical"
s406,TV Show,Becoming,,,United States,"September 18, 2020",2020,TV-PG,1 Season,"Anthology, Docuseries, Family"
s407,TV Show,Coop & Cami Ask The World,,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz",United States,"September 18, 2020",2018,TV-G,2 Seasons,"Comedy, Family, Kids"
s408,TV Show,Europe from Above,,Julian Barratt,United Kingdom,"September 18, 2020",2019,TV-G,1 Season,"Docuseries, Reality"
s409,Movie,Ever After: A Cinderella Story,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",United States,"September 18, 2020",1998,PG-13,122 min,"Drama, Romance"
s410,TV Show,Kingdom of the Mummies,,Kerry Shale,United States,"September 18, 2020",2020,TV-14,1 Season,"Docuseries, Historical, Reality"
s411,Movie,Morning Light,Mark Monroe,Patrick Warburton,United States,"September 18, 2020",2008,PG,99 min,"Documentary, Sports"
s412,Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"United Kingdom, France","September 18, 2020",2019,TV-PG,45 min,Documentary
s413,TV Show,Once Upon a Time,,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",United States,"September 18, 2020",2011,TV-PG,7 Seasons,"Action-Adventure, Fantasy, Soap Opera / Melodrama"
s414,TV Show,Soy Luna,,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff","Argentina, Mexico","September 18, 2020",2015,TV-G,3 Seasons,"Comedy, Coming of Age, Drama"
s415,TV Show,Violetta,,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",Argentina,"September 18, 2020",2011,TV-G,3 Seasons,"Coming of Age, Drama, Music"
s416,Movie,Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo","United Kingdom, United States","September 11, 2020",2018,PG,109 min,"Drama, Family, Fantasy"
s417,Movie,D2: The Mighty Ducks,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",United States,"September 4, 2020",1994,PG,107 min,"Comedy, Drama, Family"
s418,Movie,D3: The Mighty Ducks,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",United States,"September 4, 2020",1996,PG,104 min,"Comedy, Coming of Age, Drama"
s419,TV Show,Earth to Ned,,,United States,"September 4, 2020",2020,TV-PG,1 Season,"Comedy, Parody, Science Fiction"
s420,Movie,Trick or Treat,Jack Hannah,,United States,"September 4, 2020",1952,TV-G,9 min,"Animation, Family, Fantasy"
s421,Movie,Alice Through the Looking Glass,James Bobin,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter","United States, United Kingdom","August 28, 2020",2016,PG,115 min,"Action-Adventure, Fantasy"
s422,Movie,Phineas and Ferb The Movie: Candace Against the Universe,,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy",United States,"August 28, 2020",2020,TV-G,86 min,"Action-Adventure, Animation, Comedy"
s423,Movie,Back to the Titanic,,,United Kingdom,"August 21, 2020",2020,TV-PG,44 min,"Documentary, Historical"
s424,Movie,Beauty and the Beast,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",United States,"August 21, 2020",2017,PG,138 min,"Family, Fantasy, Musical"
s425,Movie,Mars: One Day on the Red Planet,Martin Johnson,Nigel Barber,United States,"August 21, 2020",2020,TV-PG,88 min,Documentary
s426,Movie,The One and Only Ivan,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",United States,"August 21, 2020",2020,PG,95 min,"Drama, Family, Fantasy"
s427,TV Show,"Weirdest, Bestest, Truest",,"Charlie Engelman, Kirby Engelman",,"August 21, 2020",2018,TV-G,1 Season,"Animals & Nature, Kids, Variety"
s428,TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),,"Jet Jurgensmeyer, Christian Simon, Megan Hilty",,"August 14, 2020",2020,TV-Y,1 Season,"Animation, Kids, Music"
s429,Movie,Disney Zombies 2,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",United States,"August 14, 2020",2020,TV-G,84 min,"Coming of Age, Fantasy, Musical"
s430,Movie,India's Wild Leopards,,"Sandesh Kadur, Priya Singh",India,"August 14, 2020",2020,TV-14,45 min,"Animals & Nature, Documentary"
s431,TV Show,Jungle Animal Rescue,,Dan Nachtrab,United States,"August 14, 2020",2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
s432,Movie,Magic Camp,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",United States,"August 14, 2020",2020,PG,101 min,"Comedy, Family"
s433,Movie,Marvel Studios' Ant-Man and the Wasp,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",United States,"August 14, 2020",2018,PG-13,120 min,"Action-Adventure, Comedy, Science Fiction"
s434,TV Show,Nature Boom Time,,"Charlie Engelman, Kirby Engelman, Patrick Rahill",United States,"August 14, 2020",2016,TV-G,1 Season,"Animals & Nature, Docuseries, Kids"
s435,TV Show,Sam's Zookeeper Challenge,,Sam Peltz,United States,"August 14, 2020",2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family"
s436,TV Show,Scuba Sam's World,,Sam Peltz,United States,"August 14, 2020",2018,TV-G,1 Season,"Animals & Nature, Docuseries, Kids"
s437,TV Show,Spaced Out,,Ben DeTour,,"August 14, 2020",2018,TV-G,1 Season,"Docuseries, Kids"
s438,Movie,The Greatest Showman,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",United States,"August 14, 2020",2017,PG,106 min,"Biographical, Drama, Family"
s439,TV Show,Weird But True!,,"Charlie Engelman, Kirby Engelman",United States,"August 14, 2020",2017,TV-G,3 Seasons,"Animals & Nature, Kids, Variety"
s440,TV Show,Wild Cats of India,,James Murray,United States,"August 14, 2020",2020,TV-PG,1 Season,"Animals & Nature, Docuseries, Family"
s441,Movie,Howard,Don Hahn,Howard Ashman,United States,"August 7, 2020",2020,TV-PG,95 min,"Biographical, Documentary, Music"
s442,Movie,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",United States,"August 7, 2020",2010,PG-13,117 min,"Action-Adventure, Fantasy"
s443,Movie,Star Wars: Galaxy's Edge-Adventure Awaits,,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",United States,"August 7, 2020",2019,TV-PG,81 min,"Documentary, Family"
s444,Movie,The Hidden Kingdoms of China,"Ben Wallis, Emma Fraser, Jess Tombs",Michelle Yeoh,United States,"August 7, 2020",2020,TV-PG,88 min,"Animals & Nature, Documentary, Family"
s445,Movie,The Peanuts Movie,Steve Martino,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston",United States,"August 7, 2020",2015,G,89 min,"Animation, Comedy, Family"
s446,TV Show,UFO Europe: The Untold Stories,,Robert Ashby,,"August 7, 2020",2012,TV-PG,1 Season,"Docuseries, Reality"
